date,Agricultural Products,Bags and Similar Containers,Ceramic Products Export,Footwear Export,"Pulp, Paper and Paper Products Export",Equipment and Electromechanical Exports,Chemicals Export,Measuring Instruments Export,Apparel and Clothing Accessories,Steel Products,Furniture and Parts,Electrical Equipment,Electrical Appliances,Automobiles and Spare Parts,Others,Refined Oil Products,Plastic Products,Textiles
09/2006,2659678000,784376000,603642000,1960433000,529740000,12300000000.0,993788000,681000000,9644712000,2667549000,1309604000,2444486000,4031157000,2039544000,47806327000.0,547877000,1553213000,4271724000
10/2006,2726167000,769604000,552148000,1613822000,544900000,12500000000.0,1004432000,663000000,8052685000,2834602000,1365614000,2372175000,4365390000,1910744000,45632943000.0,529689000,1451046000,4077106000
11/2006,3237074000,743153000,596047000,1623627000,537466000,15100000000.0,1054573000,718000000,8376332000,3048685000,1528936000,2580056000,4753794000,2084778000,48479606000.0,747410000,1502320000,4134493000
12/2006,3221060000,777552000,689899000,1938822000,506950000,13800000000.0,1173911000,726000000,8772651000,3515488000,1596681000,2552774000,3815458000,2122709000,47496661000.0,615608000,1524589000,4369781000
01/2007,3099213000,842914000,493692000,2173926000,486680000,11800000000.0,1216572000,709000000,7973573000,2891589000,1760650000,2653849000,4722505000,2233846000,42288009000.0,507394000,1563504000,3928608000
02/2007,2709031000,777252000,448870000,1925118000,458386000,11200000000.0,1114477000,666000000,7268380000,2941623000,1579308000,2405369000,4801008000,2188128000,40459894000.0,736687000,1400594000,3747716000
03/2007,2632319000,547197000,358671000,1351565000,495827000,14200000000.0,1162659000,604000000,4567574000,3388840000,1305932000,2485009000,5593387000,2035134000,41699898000.0,771038000,1275402000,3224609000
04/2007,3020428000,874014000,514819000,1816018000,571411000,12000000000.0,1411510000,808000000,7825550000,4578302000,1700657000,2957003000,6225209000,2518878000,49417812000.0,771517000,1699893000,4763916000
05/2007,2805463000,928177000,531835000,1900253000,570994000,10800000000.0,1335410000,767000000,8345556000,4182507000,1609968000,2884521000,5896773000,2512031000,47855295000.0,710198000,1651078000,4580263000
06/2007,2951886000,1001524000,611918000,2293130000,649559000,12600000000.0,1552815000,811000000,11453432000,4395038000,1623521000,3048128000,5830593000,2703700000,50600000000.0,869969000,1783244000,4507464000
07/2007,2972121000,997340000,619147000,2426624000,660396000,12700000000.0,1692148000,894000000,11959578000,4299813000,1713778000,3331037000,6020193000,2871326000,53400000000.0,649914000,1753198000,5118728000
