其他农产品,电工器材,其他,电器类产品,成品油,塑料制品,家具及其零件,钢材,服装及衣着附件,自动数据处理设备及其零部件,粮食,集成电路,纺织品,汽车及零配件,手机
5364119097,5898293871,92435598412,8177747343,2469246694,3674272996,3229799884,5256383865,10071261362,14738722169,140107411,4847831972,8166588579,5546131033,0
5906414605,6758797400,1.01277E+11,9044844169,1974415608,4488233309,3964279932,6012682181,12847925889,14528251934,138516070,4965883816,10441620153,6116127247,0
5941166724,6878268014,1.0511E+11,8847286663,2174559030,4544941546,4099986373,6371976842,14175883454,15218134125,162827421,5617848500,10337033667,6127104646,0
5733194508,6409065114,99822691795,7869913845,2073279587,4110422393,3772173216,5569393152,16005421701,15167594519,121765409,5160749703,9144397857,5812978961,0
5898272253,7235224128,1.13449E+11,9167653725,2043855770,4695140854,4223903881,6304229713,19759559594,16751169103,137627285,6358447405,9959201618,6784764742,0
5719831930,7209545846,1.10847E+11,9381397357,2444035822,4642503881,4132956856,6027469215,20058535534,15941078925,107487287,5750048568,9801560147,6286132420,0
5764097649,6892249841,1.19805E+11,9144732964,1875136849,4586256051,4000073636,6296093518,18337274750,15684786314,120718516,5388879926,9610123915,6081775801,0
5997871840,6748886160,1.12262E+11,9251882426,2714225578,4360761551,4064352410,6145920297,16403660633,17870996288,165569984,5376230957,9609757110,5807823163,0
6602968525,7009396292,1.16521E+11,8933268916,2025752557,4467709572,4623819387,6653290657,14453988501,20048748038,223809058,4666093205,9417888270,5935424762,0
6942748230,7794220627,1.27597E+11,8737351279,2205684990,4976518062,5186997174,6887030782,15506154425,19701428573,213599949,5250909954,9649712531,6797093004,0
6147516196,6751080441,1.11492E+11,7973021063,1469183580,4905148385,5357821191,6846844567,15375669638,13191874400,130972134,4546849527,9603174983,6085162191,0
4821100424,5858703406,94843902581,7153603802,1029063515,4095459140,4324997188,5252658072,12874376001,11680157291,110509870,3334711425,8307685992,5263466676,0
4415273935,5191684878,81509257912,6512479426,1569196640,2815781408,2703764717,4731419075,6471517616,13265575054,93519720,4570323606,5777424919,4607771206,0
5414440905,6431555535,98499932232,8121819505,1482178707,4233995998,3963456434,5236456275,10106799638,12618995247,149786574,4559132687,9298910993,5785160362,0
5686889370,6764626260,1.04341E+11,8669287810,1294942466,4542886503,4426683977,5329876821,12958751689,13055442505,124495663,5627011498,9924837744,6053460932,0
5502016989,6598594106,1.03683E+11,8173240692,1690348953,4475793010,4054258499,5109899067,15466803975,13298250668,119166209,6156084511,9342300224,5874359722,0
5420953694,6646023099,1.0582E+11,8162729943,1544246781,4424270013,3787297711,5316380887,17265121665,13607225322,83337873,5735086599,9367730134,5975285495,0
5492586153,6788633608,1.06231E+11,9020475042,1698348987,4593367678,3677225774,5142230686,18569071806,13568168736,73500783,6157529257,9592242870,5557657188,0
5935345519,7219130628,1.13252E+11,9394226999,1949862766,4579750044,3707176132,5674030493,16714624959,14659175585,125711698,6305315273,9552423787,5854787272,0
5974113334,6555918389,1.07747E+11,8471997587,1570314885,4305237735,3856757072,4663738151,14070052117,14644872244,105703190,5969637387,9073435641,5180625367,0
6366930486,6701212201,1.10299E+11,8247518172,1871690196,4548751559,4287214305,4618244319,12974729265,15323898396,119609242,7537358579,8564065312,5143003225,0
7609932341,7584444078,1.24567E+11,9159113312,1925890357,5094693900,5044509776,4874195023,16609374248,16341655806,153053526,8524821437,9675881736,5972892849,0
6115989718,6075272290,95235807450,7350375756,1277794926,4437919929,4664016707,4294569127,13897024450,10661050426,108614247,4544673562,9233105274,5017302257,0
4111760211,4331541457,67303091080,5461364383,1192697587,2783965846,2580049628,3476684117,9011013695,9789651376,78089287,3359589430,5932288539,4207339309,0
5648796708,5884080727,86701922719,7408704264,1272664822,3765791320,3290041883,4210135881,8339066289,12165890175,112934934,5634442088,7707197600,5114203352,0
5448922334,6394490292,93600621042,8030215977,1250462363,4489602198,3835004419,4265608438,10597316004,11511671234,131871391,5108372555,9456218665,5257984799,0
6084815458,6539363137,97432450359,8167375617,1362366750,4630977490,3893776943,4710329806,12729655717,11290216338,129155692,5288558083,9948429137,5850832133,0
5547114907,6362411123,95600622831,7712751497,1566729618,4200561448,3594317236,5533495848,14228345353,12399825302,123944524,5392106932,8894125665,5455598594,0
6050829222,6570135169,98178816724,8219148689,1875795573,4359089436,3647481704,5320039840,15616869114,12458125292,117567484,5307372794,8917979781,5667359867,0
6319560569,7075979124,1.02495E+11,8889977718,1563395755,4625727233,3756829015,4874696591,17197568004,12822556073,110660917,4659097141,10100441668,6100961502,0
5804257155,6776572010,1.02075E+11,8721641956,1796843334,4174831677,3477125769,4706799524,14530729882,12904974190,145986180,5429942655,7555186861,5506748312,0
5928403488,6334554261,98451740799,8201755881,1781318054,4081596944,3390076608,4179728407,12512176866,13550991794,133472308,4989374976,8466082366,5078624074,0
6988486708,7048113739,1.07565E+11,8822835609,2032467058,4493010712,4094324524,4538963271,12076667522,15087410864,168547745,6020141019,8861798886,5822098151,0
7167854954,7680072837,1.18403E+11,8567108965,2396039549,5133253987,4651995067,4597192285,13872629340,15537235059,135471292,6310068783,9055441283,5799046555,0
6315204174,6466970162,1.00258E+11,7511771607,1395255293,4556876930,4308553361,4542635734,13812371173,11514563272,124075118,4374614308,9446320075,5646400020,0
3652509217,4177951811,65900394692,5301888250,2057886005,2452297033,2115901876,3521198632,6151381755,10658109030,100351827,4444615821,4476773602,3836377827,0
5872646674,6782776938,98753410569,8197628892,2321363862,4462153339,3935634719,5111671784,10507993725,13901378499,151348471,4717190578,8938312006,5594357462,0
5691749428,6636725897,97518166809,8154161335,1721492506,4603617292,4035082872,4749652312,11335490730,12760017180,154498918,5041280737,9645522461,5715934027,0
6013145001,7012898979,1.03929E+11,8592764918,1931564881,4930327250,4260435767,5033982587,12534393163,13145240661,165907326,5073012685,10246154409,6219220143,0
6046437087,7015048429,1.05492E+11,8144623853,2012534849,4768608234,4030689032,4821944171,14238899995,16584212352,163798219,5753779170,9499955384,6182457570,0
5934531301,6923515172,1.03061E+11,8161844163,2120883266,4620687657,3684504069,4776452763,15585724144,16034988588,126965225,5960626776,9171080142,5956642340,0
6163189363,7434769074,1.06184E+11,8628053689,2110202178,4607575396,3647649408,4703942940,15934603473,16598631241,110853025,6116152294,9516207671,6287067326,0
5931737246,7423218805,1.09027E+11,9262885884,1754525199,4594919983,3609040214,3904693472,14351200282,16788217774,149158881,6254040952,8835372213,6057426744,0
6328141017,6843532672,1.03693E+11,8471375822,1893212703,4185010890,3593407328,3967173835,12143571030,16183830482,157120000,5559178642,9076308832,5808591652,0
7592889447,7976210064,1.19992E+11,9189047271,2880110685,5035509846,4333433441,4434122998,12752374492,18989840533,187266377,6216426055,9830876711,6428497263,0
7789837859,8791998188,1.30793E+11,9144831576,3262940218,5737284357,4715939833,4934269415,13445396857,18548412754,189162958,7364129957,10025141158,6780757479,0
6785966506,7355401457,1.1202E+11,8259289933,2223654818,4905327037,4548847474,4243672776,12606658200,14462148853,189475263,6067444713,9849892133,5950842112,0
4888148933,6457017106,93880046653,7361593488,2065490996,4242096855,3618599671,4211231340,10943835651,13036919091,124245918,5235635528,8793277748,5690326774,0
5637061973,6648936280,94588074035,7723427795,3831695806,3692746681,2937250970,4695294769,6917503325,17426142615,141341646,7087179339,6906454989,5667178558,0
6461616348,7644161426,1.08226E+11,8607265609,3015865952,4929311236,4036142119,5465136880,10486066029,16601816002,206512390,6337275937,10375159522,6544285479,0
6490187152,8002726975,1.15277E+11,8933605874,3699160693,5331198366,4417337258,5936569771,11630795956,16920942964,146916836,6878831486,11077841625,6848820052,0
6308994212,8192593520,1.16927E+11,8696411665,3010510382,5442002244,4406676512,5895917933,14332741688,17330466533,158640979,7473229755,10517567882,6903413213,0
6669245804,8241022357,1.15358E+11,8676535256,2886773779,5189460295,3986511894,5212523255,16244571823,17805674368,167855927,7080689763,9984346399,6899490408,0
6176661522,8264247280,1.16593E+11,9114629206,3401103928,5250170400,3980387009,5149660819,16217395025,18634054803,139148055,7126500913,10099494497,6802398835,0
6463850703,8390944876,1.23778E+11,9780303029,2578808301,5332812910,3976836484,5254878568,15503738790,18696939003,135548366,8404975731,10410519619,6689631502,0
6717736329,7754214070,1.19411E+11,9031030231,2682432422,4912775531,4014263545,4808451811,13047432158,18101943846,153595277,8406407550,9559836416,6158226588,0
7362759668,8340495066,1.24559E+11,9526427492,2931610473,5709943309,5002075613,4800113405,12233982097,19633679027,206323999,7362937901,10114168274,6510879055,0
7338546187,8616851608,1.21992E+11,8868588590,3556592679,5744233580,4811007419,4922513637,12793203874,18515646951,249502523,7175342047,9771975132,6494117333,0
6862132298,8323612786,1.20178E+11,9214450453,2952312507,5981723010,5153387195,5082702658,13235717772,15427077231,137104998,7604096982,11309347713,6540908934,0
3625981135,5109464729,74479258016,5599164557,2113431229,3099795739,2449203048,3462229840,6840611786,11960259700,104797451,6317762263,5870940789,4290843119,0
6292537364,7822864643,1.09398E+11,8414281184,3966528129,5015879360,3795632899,4939187471,8341695163,16339501165,177675846,7948265053,9376576892,6402461353,0
5916157215,7402477985,1.0621E+11,8350514047,3638397384,5242123405,4173349338,4980117223,9318559948,14705871366,230223830,7934435152,9669957902,5828793531,0
6420334673,8393100855,1.18744E+11,9124353775,2685965053,6011807684,4576679158,4929428473,11784259305,15287411323,221185766,7573950897,11511682493,6650411855,0
6320635608,8029015332,1.15645E+11,8532090145,3150556858,5617222801,4140493173,4585853838,13854337026,17212121599,212320621,8350736137,10170280809,6643128642,0
6253788860,8405945329,1.20611E+11,9014487508,3208111520,6001110007,4138832653,4887895706,16226950354,16009104302,225844802,9237345723,10609590161,6942397175,0
6177527643,8356031355,1.18677E+11,9060929796,2396954454,5890538533,3955487239,4353831398,15200626478,15097437295,181513592,9287457098,9867123085,6370337071,0
6440780586,8171338758,1.22547E+11,8950371358,3285105257,5550519262,3727443289,4469921243,14303007627,15177977441,141810725,9313867259,9631043212,6504694283,0
6705275270,7784535813,1.18178E+11,8686705915,2945490218,5579718230,3908074343,4010588453,12341378572,17369170829,204992368,9260377713,10023550875,5981070623,0
7365263747,8349115939,1.23893E+11,8620395450,4142027013,5951182455,4436039103,3930245505,11742981596,17883491309,194529734,9074070388,9831181543,6028310299,0
7942006365,9326203428,1.34401E+11,8760769789,3951560538,7002928544,5371773572,4116281426,13531382279,16569515972,217664203,9674166721,10900702509,6871748148,0
6434592404,8449988752,1.17494E+11,8532566853,3106194454,6190644791,4912669281,3769494434,13536482918,13168319901,122267107,7657600392,11398876641,6805592871,0
2848524561,2941164931,41932713591,2953404369,3078962772,1445161825,876277549,2331103302,2497640152,6767256798,84572264,7459867308,2349511109,2798027929,0
6516211830,7196908281,1.02115E+11,7680235050,3705093632,5219893364,3142579528,4856426377,6501232513,13909314335,226425667,8766020822,8903246403,5811502107,0
6289853402,7932646116,1.0466E+11,8636476374,3316769894,5833774688,3700829420,4750678524,6733265136,19132926174,203488183,8454421338,14570429337,5244024038,0
6143150306,7853774724,1.05977E+11,8777933602,1257680169,5990892779,3994603946,3660292487,8898813537,19576853046,220386997,8960865956,20618706101,4480692386,0
5861947422,8174670314,1.12698E+11,9452530105,1199766850,6585181196,4700772679,3372634328,12829062504,17807118212,198832321,8959609320,16118309601,4866415400,0
6275025912,9279767009,1.25824E+11,11150626124,1054764153,7357051488,5281787571,3642450481,15297926017,19144118724,160570937,10606013290,15926850989,5822154164,0
