date,commodity,value
2020-11-01,Other,12282818380.0
2020-12-01,Other,12452704345.0
2021-01-01,Other,11466624775.0
2021-02-01,Other,9301016343.0
2021-03-01,Other,11043243986.0
2021-04-01,Other,11627954425.0
2021-05-01,Other,11374536037.0
2021-06-01,Other,11317136766.0
2021-07-01,Other,11531848892.0
2021-08-01,Other,12231377154.0
2021-09-01,Other,12713289395.0
2021-10-01,Other,12340652997.0
2021-11-01,Other,12486160802.0
2021-12-01,Other,12087334452.0
2022-01-01,Other,15467031859.0
2022-02-01,Other,11148072623.0
2022-03-01,Other,13584989976.0
2022-04-01,Other,14169100399.0
2022-05-01,Other,13547591481.0
2022-06-01,Other,13390050054.0
2022-07-01,Other,14256025657.0
2022-08-01,Other,13929391722.0
2022-09-01,Other,13956680433.0
2022-10-01,Other,12415070572.0
2022-11-01,Other,12516505392.0
2022-12-01,Other,12304171895.0
2023-01-01,Other,12914894296.0
2023-02-01,Other,9745324555.0
2005-01-01,EA,409750000.0
2005-02-01,EA,294995000.0
2005-03-01,EA,642716000.0
2005-04-01,EA,605729000.0
2005-05-01,EA,669563000.0
2005-06-01,EA,528363000.0
2005-07-01,EA,600576000.0
2005-08-01,EA,812964000.0
2005-09-01,EA,546308000.0
2005-10-01,EA,295631000.0
2005-11-01,EA,479771000.0
2005-12-01,EA,525105000.0
2006-01-01,EA,449872000.0
2006-02-01,EA,593061000.0
2006-03-01,EA,570151000.0
2006-04-01,EA,562961000.0
2006-05-01,EA,630586000.0
2006-06-01,EA,539617000.0
2006-07-01,EA,592984000.0
2006-08-01,EA,668370000.0
2006-09-01,EA,547877000.0
2006-10-01,EA,529689000.0
2006-11-01,EA,747410000.0
2006-12-01,EA,615608000.0
2007-01-01,EA,507394000.0
2007-02-01,EA,736687000.0
2007-03-01,EA,771038000.0
2007-04-01,EA,771517000.0
2007-05-01,EA,710198000.0
2007-06-01,EA,869969000.0
2007-07-01,EA,649914000.0
2007-08-01,EA,803685000.0
2007-09-01,EA,911228000.0
2007-10-01,EA,715495000.0
2007-11-01,EA,844017000.0
2007-12-01,EA,858326000.0
2008-01-01,EA,845298000.0
2008-02-01,EA,922736000.0
2008-03-01,EA,903167000.0
2008-04-01,EA,951929000.0
2008-05-01,EA,1225312000.0
2008-06-01,EA,1217005000.0
2008-07-01,EA,1499929000.0
2008-08-01,EA,1290742000.0
2008-09-01,EA,1328665000.0
2008-10-01,EA,1290757000.0
2008-11-01,EA,979980000.0
2008-12-01,EA,1204318000.0
2009-01-01,EA,534335000.0
2009-02-01,EA,628952000.0
2009-03-01,EA,581494000.0
2009-04-01,EA,813682000.0
2009-05-01,EA,694999000.0
2009-06-01,EA,1111803000.0
2009-07-01,EA,1024493000.0
2009-08-01,EA,1257948000.0
2009-09-01,EA,1185896000.0
2009-10-01,EA,1133775000.0
2009-11-01,EA,1293337000.0
2009-12-01,EA,2288658000.0
2010-01-01,EA,1682149207.0
2010-02-01,EA,1001277301.0
2010-03-01,EA,1715869022.0
2010-04-01,EA,1650166981.0
2010-05-01,EA,1774661108.0
2010-06-01,EA,1431688859.0
2010-07-01,EA,1577699569.0
2010-08-01,EA,1322389192.0
2010-09-01,EA,1276167943.0
2010-10-01,EA,1115143907.0
2010-11-01,EA,1267359386.0
2010-12-01,EA,1213397303.0
2011-01-01,EA,1396052186.0
2011-02-01,EA,1228153961.0
2011-03-01,EA,1941579881.0
2011-04-01,EA,1604202225.0
2011-05-01,EA,2083950996.0
2011-06-01,EA,1804345459.0
2011-07-01,EA,1937392748.0
2011-08-01,EA,1872052718.0
2011-09-01,EA,1861425319.0
2011-10-01,EA,1367265802.0
2011-11-01,EA,1775432027.0
2011-12-01,EA,1894189903.0
2012-01-01,EA,1615558669.0
2012-02-01,EA,1898059314.0
2012-03-01,EA,1899990375.0
2012-04-01,EA,1548812177.0
2012-05-01,EA,1865526052.0
2012-06-01,EA,1844655587.0
2012-07-01,EA,1501504029.0
2012-08-01,EA,1693729858.0
2012-09-01,EA,1728921808.0
2012-10-01,EA,1601801920.0
2012-11-01,EA,1945437872.0
2012-12-01,EA,2165951216.0
2013-01-01,EA,2087213579.0
2013-02-01,EA,1965436349.0
2013-03-01,EA,2383999619.0
2013-04-01,EA,2406501592.0
2013-05-01,EA,2294183025.0
2013-06-01,EA,1691178406.0
2013-07-01,EA,1714820276.0
2013-08-01,EA,1997579575.0
2013-09-01,EA,1837875345.0
2013-10-01,EA,2101708140.0
2013-11-01,EA,1772199988.0
2013-12-01,EA,2252488734.0
2014-01-01,EA,1978674784.0
2014-02-01,EA,1805896117.0
2014-03-01,EA,2469246694.0
2014-04-01,EA,1974415608.0
2014-05-01,EA,2174559030.0
2014-06-01,EA,2073279587.0
2014-07-01,EA,2043855770.0
2014-08-01,EA,2444035822.0
2014-09-01,EA,1875136849.0
2014-10-01,EA,2714225578.0
2014-11-01,EA,2025752557.0
2014-12-01,EA,2205684990.0
2015-01-01,EA,1469183580.0
2015-02-01,EA,1029063515.0
2015-03-01,EA,1569196640.0
2015-04-01,EA,1482178707.0
2015-05-01,EA,1294942466.0
2015-06-01,EA,1690348953.0
2015-07-01,EA,1544246781.0
2015-08-01,EA,1698348987.0
2015-09-01,EA,1949862766.0
2015-10-01,EA,1570314885.0
2015-11-01,EA,1871690196.0
2015-12-01,EA,1925890357.0
2016-01-01,EA,1277794926.0
2016-02-01,EA,1192697587.0
2016-03-01,EA,1272664822.0
2016-04-01,EA,1250462363.0
2016-05-01,EA,1362366750.0
2016-06-01,EA,1566729618.0
2016-07-01,EA,1875795573.0
2016-08-01,EA,1563395755.0
2016-09-01,EA,1796843334.0
2016-10-01,EA,1781318054.0
2016-11-01,EA,2032467058.0
2016-12-01,EA,2396039549.0
2017-01-01,EA,1395255293.0
2017-02-01,EA,2057886005.0
2017-03-01,EA,2321363862.0
2017-04-01,EA,1721492506.0
2017-05-01,EA,1931564881.0
2017-06-01,EA,2012534849.0
2017-07-01,EA,2120883266.0
2017-08-01,EA,2110202178.0
2017-09-01,EA,1754525199.0
2017-10-01,EA,1893212703.0
2017-11-01,EA,2880110685.0
2017-12-01,EA,3262940218.0
2018-01-01,EA,2223654818.0
